MPN,Price,Producer,Name,EAN,Length(mm),Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock(MHz),Vram(GB),Memory Clock(MHz),TDP(W)
90YV0JB0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4060 ROG Strix,4.71E+12,311.4,3.1,1,0,1,3,0,0,2670,8,17000,115
90YV0J40-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4060 Ti Dual,4.71E+12,227.2,2.5,1,0,1,3,0,0,2565,8,18000,160
90YV0J42-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4060 Ti Dual O8G White,4.71E+12,227.2,2.5,1,0,1,3,0,0,2595,8,18000,650
90YV0J50-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4060 Ti TUF,4.71E+12,300,3.12,1,0,1,3,0,0,1759,8,18000,160
90YV0IZ3-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4070 Dual,4.71E+12,269,2.55,1,0,1,3,0,0,2475,12,21000,200
90YV0IZ5-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4070 Dual 12G White Edition,4.71E+12,267,2.56,1,0,1,3,0,0,1759,12,21000,200
90YV0IZ4-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4070 Dual O12G White Edition,4.71E+12,267,2.56,1,0,1,3,0,0,1759,12,21000,200
90YV0IZ0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4070 TUF,4.71E+12,303,3.25,1,0,1,3,0,0,2550,12,21000,200
90YV0IC0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4080 ROG Strix,4.71E+12,357.6,3.5,0,0,2,3,0,0,1759,16,22400,320
90YV0IB0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4080 TUF,4.71E+12,348.2,3.65,0,0,2,3,0,0,2595,16,22400,320
90YV0IY0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4090 ROG Strix LC,4.71E+12,293,2,0,0,2,3,0,0,2640,24,21000,450
90YV0IY3-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4090 TUF O24G OG,4.71E+12,325.9,3,0,0,1,3,0,0,2595,24,21000,850
90YV0HA1-M0NA00,#N/D,ASUS,ASUS Radeon RX 6500 XT Dual,4.71E+12,201,2,0,1,1,1,0,0,2815,4,14000,107
90YV0HA0-M0NA00,#N/D,ASUS,ASUS Radeon RX 6500 XT TUF,4.71E+12,250,2.7,0,1,1,1,0,0,2815,4,14000,107
90YV0GP0-M0NA00,#N/D,ASUS,ASUS Radeon RX 6600 Dual,4.71E+12,243,2.5,1,0,1,3,0,0,1759,8,14000,132
90YV0GN1-M0NA00,#N/D,ASUS,ASUS Radeon RX 6600 XT Dual OC,4.71E+12,243,2.5,1,0,1,3,0,0,1759,8,16000,160
90YV0GN0-M0NA00,#N/D,ASUS,ASUS Radeon RX 6600 XT ROG Strix OC,4.71E+12,243,2.5,1,0,1,3,0,0,1759,8,16000,160
90YV0HL0-M0NA00,#N/D,ASUS,ASUS Radeon RX 6650 XT Dual,4.71E+12,243,2.5,1,0,3,1,0,0,1759,8,14000,180
90YV0G82-M0NA00,#N/D,ASUS,ASUS Radeon RX 6700 XT Dual,4.71E+12,295,3,1,1,1,3,0,0,2581,12,8000,230
90YV0G83-M0NA00,#N/D,ASUS,ASUS Radeon RX 6700 XT Dual (rev2),4.71E+12,295,2.7,1,1,1,3,0,0,2622,12,14000,230
90YV0G81-M0NA00,#N/D,ASUS,ASUS Radeon RX 6700 XT ROG Strix O12G,4.71E+12,322,3,2,0,1,3,0,0,2622,12,8000,230
90YV0G80-M0NA00,768.16,ASUS,ASUS Radeon RX 6700 XT TUF O12G,4.71E+12,322,3,1,1,1,3,0,0,2622,12,8000,230
90YV0HK0-M0NA00,#N/D,ASUS,ASUS Radeon RX 6750 XT Dual,4.71E+12,295,2.7,2,0,1,3,0,0,1759,12,14000,250
90YV0HK1-M0NA00,#N/D,ASUS,ASUS Radeon RX 6750 XT ROG Strix,4.71E+12,322,2.9,2,0,1,3,0,0,1759,12,14000,250
90YV0FY0-U0NA00,#N/D,ASUS,ASUS Radeon RX 6800,4.72E+12,267,2,2,0,1,2,0,0,2105,16,8000,250
90YV0FM0-M0NA00,#N/D,ASUS,ASUS Radeon RX 6800 ROG Strix,4.72E+12,320,3,2,0,1,3,0,0,2190,16,14000,250
90YV0FM1-M0NA00,#N/D,ASUS,ASUS Radeon RX 6800 TUF,4.72E+12,320,3,2,0,1,3,0,0,2190,16,14000,250
90YV0FL1-M0NM00,#N/D,ASUS,ASUS Radeon RX 6800 XT TUF,4.72E+12,320,3,2,0,1,3,0,0,2340,16,14000,300
90YV0GF0-M0NM00,#N/D,ASUS,ASUS Radeon RX 6900 XT ROG Strix LC,4.71E+12,277,2.5,3,0,1,3,0,0,2365,16,14000,300
90YV0GF1-M0NM00,#N/D,ASUS,ASUS Radeon RX 6900 XT ROG Strix Top Edition,4.71E+12,277,2.2,3,0,1,3,0,0,2525,16,14000,300
90YV0GE1-M0NM00,#N/D,ASUS,ASUS Radeon RX 6900 XT TUF Gaming Top,4.71E+12,320,2.9,2,0,1,3,0,0,2390,16,14000,300
90YV0GE0-M0NM00,#N/D,ASUS,ASUS Radeon RX 6900 XT TUF OC,4.71E+12,320,3,2,0,1,3,0,0,2310,16,8000,300
90YV0IH1-M0NA00,#N/D,ASUS,ASUS Radeon RX 7600 Dual,4.71E+12,245,2.5,1,0,1,3,0,0,1759,8,18000,165
90YV0IH0-M0NA00,#N/D,ASUS,ASUS Radeon RX 7600 ROG Strix,4.71E+12,281,2.9,1,0,1,3,0,0,2755,8,18000,165
90YV0JK0-M0NA00,#N/D,ASUS,ASUS Radeon RX 7700 XT TUF,4.71E+12,319.8,2.9,2,0,1,3,0,0,2599,12,18000,245
90YV0JJ0-M0NA00,#N/D,ASUS,ASUS Radeon RX 7800 XT TUF,4.71E+12,319.8,2.9,2,0,1,3,0,0,2599,16,19500,263
90YV0JP0-M0NA00,#N/D,ASUS,ASUS Radeon RX 7800 XT TUF O16G White,4.71E+12,319.8,2.9,2,0,1,3,0,0,2565,16,19500,263
90YV0FQ0-M0NA00,#N/D,ASUS,ASUS RTX 3070 Dual OC,4.72E+12,267,2.75,2,0,2,3,0,0,1759,8,14000,220
90YV0FQ6-M0NA00,#N/D,ASUS,ASUS RTX 3070 TUF,4.72E+12,300,2.5,0,2,2,3,0,0,1759,8,14000,220
08G-P5-3662-KR,#N/D,EVGA,EVGA GeForce RTX 3060 Ti FTW3 Black Gaming,4.25E+12,286,2.5,2,0,1,3,0,MPN,1710,8,14000,200
08G-P5-3665-KR,#N/D,EVGA,EVGA GeForce RTX 3060 Ti FTW3 Gaming,4.25E+12,286,2.5,2,0,1,3,0,MPN,1710,8,14000,200
08G-P5-3667-KR,#N/D,EVGA,EVGA GeForce RTX 3060 Ti FTW3 Ultra Gaming,4.25E+12,286,2.5,2,0,1,3,0,MPN,1800,8,14000,200
08G-P5-3667-KL,#N/D,EVGA,EVGA GeForce RTX 3060 Ti FTW3 Ultra Gaming LHR,4.25E+12,285.4,2.2,2,0,1,3,0,MPN,1800,8,14000,200
08G-P5-3661-KR,#N/D,EVGA,EVGA GeForce RTX 3060 Ti XC Black Gaming,4.25E+12,202,2,1,0,1,3,0,MPN,1665,8,14000,200
08G-P5-3663-KR,#N/D,EVGA,EVGA GeForce RTX 3060 Ti XC Gaming,4.25E+12,202,2,1,0,1,3,0,MPN,1710,8,14000,200
12G-P5-3657-KR,#N/D,EVGA,EVGA GeForce RTX 3060 XC Gaming,4.25E+12,202,2,1,0,1,3,0,MPN,1882,12,7500,170
08G-P5-3767-KL,#N/D,EVGA,EVGA GeForce RTX 3070 FTW3 Ultra Gaming LHR,4.25E+12,300,2.75,2,0,1,3,0,MPN,1759,8,14000,220
08G-P5-3797-KL,#N/D,EVGA,EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming LHR,4.25E+12,300,2.75,2,0,1,3,0,MPN,1860,8,19000,290
08G-P5-3785-KL,#N/D,EVGA,EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming LHR,4.25E+12,285.37,2.2,2,0,1,3,0,MPN,1815,8,19000,290
10G-P5-3895-KR,#N/D,EVGA,EVGA GeForce RTX 3080 FTW3 Gaming,4.25E+12,300,2.75,3,0,1,3,0,MPN,1710,10,19000,320
10G-P5-3897-KR,#N/D,EVGA,EVGA GeForce RTX 3080 FTW3 Ultra Gaming,4.25E+12,300,2.75,3,0,1,3,0,MPN,1800,10,19000,320
10G-P5-3897-KL,#N/D,EVGA,EVGA GeForce RTX 3080 FTW3 Ultra Gaming LHR,4.25E+12,300,2.75,3,0,1,3,0,MPN,1800,10,19000,320
10G-P5-3898-KR,#N/D,EVGA,EVGA GeForce RTX 3080 FTW3 Ultra Hybrid Gaming,4.25E+12,288.9,2,2,0,1,3,0,MPN,1800,10,19000,320
12G-P5-3965-KR,#N/D,EVGA,EVGA GeForce RTX 3080 Ti FTW3 Gaming,4.25E+12,300,2.75,3,0,1,3,0,MPN,1775,12,19000,350
12G-P5-3967-KR,#N/D,EVGA,EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming,4.25E+12,300,2.75,3,0,1,3,0,MPN,1800,12,19000,350
12G-P5-3968-KR,#N/D,EVGA,EVGA GeForce RTX 3080 Ti FTW3 Ultra Hybrid Gaming LHR,4.25E+12,289,2,3,0,1,3,0,MPN,1800,12,19000,320
12G-P5-3955-KR,#N/D,EVGA,EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming,4.25E+12,285.37,2.2,2,0,1,3,0,MPN,1725,12,19000,320
12G-P5-3958-KR,#N/D,EVGA,EVGA GeForce RTX 3080 Ti XC3 Ultra Hybrid Gaming LHR,4.25E+12,289,2,2,0,1,3,0,MPN,1725,12,19000,320
10G-P5-3881-KR,#N/D,EVGA,EVGA GeForce RTX 3080 XC3 Black Gaming,4.25E+12,285.37,2.5,2,0,1,3,0,MPN,1710,10,19000,320
10G-P5-3881-KL,#N/D,EVGA,EVGA GeForce RTX 3080 XC3 Black Gaming LHR,4.25E+12,285.37,2.2,2,0,1,3,0,MPN,1710,10,19000,320
10G-P5-3883-KR,#N/D,EVGA,EVGA GeForce RTX 3080 XC3 Gaming,4.25E+12,285.37,2.5,2,0,1,3,0,MPN,1710,10,19000,320
10G-P5-3885-KR,#N/D,EVGA,EVGA GeForce RTX 3080 XC3 Ultra Gaming,4.25E+12,285.37,2.5,2,0,1,3,0,MPN,1759,10,19000,320
10G-P5-3885-KL,#N/D,EVGA,EVGA GeForce RTX 3080 XC3 Ultra Gaming LHR,4.25E+12,285.37,2.2,2,0,1,3,0,MPN,1755,10,19000,320
10G-P5-3888-KR,#N/D,EVGA,EVGA GeForce RTX 3080 XC3 Ultra Hybrid Gaming,4.25E+12,262.8,2,2,0,1,3,0,MPN,1755,10,19000,320
24G-P5-3987-KR,#N/D,EVGA,EVGA GeForce RTX 3090 FTW3 Ultra Gaming,4.25E+12,300,2.5,3,0,1,3,0,MPN,1800,24,19500,350
24G-P5-3988-KR,#N/D,EVGA,EVGA GeForce RTX 3090 FTW3 Ultra Hybrid Gaming,4.25E+12,288.9,2,3,0,1,3,0,MPN,1800,24,19500,350
24G-P5-3998-KR,#N/D,EVGA,EVGA GeForce RTX 3090 K|NGP|N Hybrid Gaming,4.25E+12,288.9,2,3,0,1,3,0,MPN,1920,24,19500,350
24G-P5-4983-KR,#N/D,EVGA,EVGA GeForce RTX 3090 Ti FTW3,4.25E+12,300,3.5,0,0,1,3,0,MPN,1890,24,14000,450
24G-P5-4981-KR,#N/D,EVGA,EVGA GeForce RTX 3090 Ti FTW3 Black,4.25E+12,300,3.5,0,0,1,3,0,MPN,1860,24,14000,450
24G-P5-4985-KR,#N/D,EVGA,EVGA GeForce RTX 3090 Ti FTW3 Ultra,4.25E+12,300,3.5,3,0,1,3,0,MPN,1920,24,14000,450
24G-P5-3971-KR,#N/D,EVGA,EVGA GeForce RTX 3090 XC3 Black Gaming,4.25E+12,285.37,2.5,2,0,1,3,0,MPN,1695,24,19500,350
24G-P5-3973-KR,#N/D,EVGA,EVGA GeForce RTX 3090 XC3 Gaming,4.25E+12,285.37,2.5,2,0,1,3,0,MPN,1695,24,19500,350
24G-P5-3975-KR,#N/D,EVGA,EVGA GeForce RTX 3090 XC3 Ultra Gaming,4.25E+12,285.37,2.5,2,0,1,3,0,MPN,1740,24,19500,350
24G-P5-3978-KR,#N/D,EVGA,EVGA GeForce RTX 3090 XC3 Ultra Hybrid Gaming,4.25E+12,262.8,2,2,0,1,3,0,MPN,1725,24,19500,350
08G-P5-3765-KR,#N/D,EVGA,EVGA RTX 3070 FTW3,4.25E+12,300,2.75,2,0,1,3,0,MPN,1770,8,14000,220
08G-P5-3767-KR,#N/D,EVGA,EVGA RTX 3070 FTW3 Ultra,4.25E+12,300,2.75,2,0,1,3,0,MPN,1815,8,14000,220
08G-P5-3753-KR,#N/D,EVGA,EVGA RTX 3070 XC3,4.25E+12,286,2.5,2,0,1,3,0,MPN,1725,8,14000,220
08G-P5-3751-KR,#N/D,EVGA,EVGA RTX 3070 XC3 Black Gaming,4.25E+12,286,2.5,2,0,1,3,0,MPN,1725,8,14000,220
08G-P5-3755-KR,#N/D,EVGA,EVGA RTX 3070 XC3 Ultra Gaming,4.25E+12,286,2.5,2,0,1,3,0,MPN,1770,8,14000,220
GV-N3050AORUS E-8GD,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3050 Elite,4.72E+12,296,2.5,1,0,2,2,0,0,1860,8,4,130
GV-N3060AORUS E-12GD 2.0,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3060 Elite 12G LHR,4.72E+12,296,2.75,1,1,2,2,0,0,1867,12,15000,170
GV-N306TAORUS E-8GD 2.0,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3060 Ti Elite 8G LHR,4.72E+12,296,2.7,1,1,2,2,0,0,1750,8,14000,200
GV-N306TAORUS M-8GD,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3060 Ti Master,4.72E+12,290,3,1,1,3,3,0,0,1759,8,14000,230
GV-N3070AORUS M-8GD 2.0,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3070 Master 8G LHR,4.72E+12,290,3,2,0,3,3,0,0,1759,8,14000,220
GV-N3080AORUS M-10GD 3.0,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3080 Master 10G LHR,4.72E+12,319,3.5,3,0,3,3,0,0,1845,10,19000,320
GV-N308TAORUS M-12GD,#N/D,Gigabyte,Gigabyte Aorus GeForce RTX 3080 Ti Master 12G LHR,4.72E+12,319,3.5,3,0,3,3,0,0,1770,12,19000,400
GV-N406TAORUS E-8GD,#N/D,Gigabyte,GIGABYTE Aorus GeForce RTX 4060 Ti Elite,4.72E+12,301,2.75,1,0,2,2,0,0,2655,8,18000,160
GV-N4070AORUS M-12GD,#N/D,Gigabyte,GIGABYTE Aorus GeForce RTX 4070 Master,4.72E+12,342,3.5,0,0,1,3,0,0,2595,12,21000,200
GV-N407TAORUS E-12GD,#N/D,Gigabyte,GIGABYTE Aorus GeForce RTX 4070 Ti Elite,4.72E+12,342,3,0,0,1,3,0,0,2655,12,21000,285
GV-N407TAORUS M-12GD,#N/D,Gigabyte,GIGABYTE Aorus GeForce RTX 4070 Ti Master,4.72E+12,342,3,0,0,1,3,0,0,2670,12,21000,285
GV-N4080AORUS M-16GD,#N/D,Gigabyte,GIGABYTE Aorus GeForce RTX 4080 Master,4.72E+12,357,3.5,0,0,1,3,0,0,2550,16,22400,320
GV-R67XTAORUS E-12GD,#N/D,Gigabyte,Gigabyte Aorus Radeon RX 6700 XT Elite,4.72E+12,296,2.75,1,1,2,2,0,0,2622,12,8000,230
GV-R675XTAORUS E-12GD,#N/D,Gigabyte,Gigabyte Aorus Radeon RX 6750 XT Elite,4.72E+12,296,2.7,1,1,2,2,0,0,1759,12,14000,250
GV-R68AORUS M-16GD,#N/D,Gigabyte,Gigabyte Aorus Radeon RX 6800 Master,4.72E+12,300,3,2,0,2,2,0,0,2190,16,14000,250
GV-R68XTAORUS M-16GD,#N/D,Gigabyte,Gigabyte Aorus Radeon RX 6800 XT Master,4.72E+12,324,3,2,0,2,2,0,0,2310,16,14000,300
GV-N3050EAGLE-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3050 Eagle,4.72E+12,213,2,1,0,2,2,0,0,1777,8,4,130
GV-N3050EAGLE OC-8GD,283.32,Gigabyte,Gigabyte GeForce RTX 3050 Eagle OC,4.72E+12,213,2,1,0,2,2,0,0,1792,8,4,130
GV-N3050GAMING OC-8GD,295.95,Gigabyte,Gigabyte GeForce RTX 3050 Gaming OC,4.72E+12,282,2,1,0,2,2,0,0,1822,8,4,130
GV-N3060EAGLE-12GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Eagle,4.72E+12,242,2,1,0,2,2,0,0,1777,12,15000,170
GV-N3060EAGLE-12GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Eagle 12G LHR,4.72E+12,242,2,1,0,2,2,0,0,1777,12,15000,170
GV-N3060EAGLE OC-12GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Eagle OC,4.72E+12,242,2,1,0,2,2,0,0,1807,12,7500,170
GV-N3060EAGLE OC-12GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Eagle OC 12G LHR,4.72E+12,242,2,1,0,2,2,0,0,1807,12,15000,170
GV-N3060AORUS E-12GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Elite,4.72E+12,296,2.75,1,1,2,2,0,0,1867,12,7500,170
GV-N3060GAMING OC-12GD 1.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Gaming OC,4.72E+12,282,2,1,0,2,2,0,0,1837,12,7500,170
